nb_layers,Regularization,batch_normalization,optimizer,val_loss,val_mae,test_mse,test_mae
3,,False,rmsprop,0.031279779970645905,0.13639260828495026,0.0262,0.1229
3,,False,adam,0.03004949353635311,0.13069473206996918,0.0265,0.1236
3,,True,adam,0.0301160030066967,0.1315310001373291,0.0269,0.1243
3,,True,rmsprop,0.033111315220594406,0.1403498500585556,0.0279,0.1264
3,l2,True,adam,0.06517554819583893,0.20468628406524658,0.0292,0.1307
4,,False,adam,0.034406114369630814,0.14201277494430542,0.0306,0.1348
3,l2,True,rmsprop,0.0364348366856575,0.14921942353248596,0.032,0.1356
4,,False,rmsprop,0.035506490617990494,0.1453120857477188,0.0311,0.1356
3,,True,adagrad,0.05851663276553154,0.1978759765625,0.0309,0.1359
4,,True,rmsprop,0.037572186440229416,0.14996370673179626,0.0314,0.1363
4,,True,adam,0.03599406033754349,0.14518310129642487,0.0311,0.1373
3,l2,True,adagrad,0.06999792158603668,0.21947215497493744,0.0314,0.1395
4,,True,adagrad,0.07813003659248352,0.2252359241247177,0.039,0.1553
3,l2,False,adam,0.05986051261425018,0.20657944679260254,0.055,0.1963
4,l2,True,adam,0.05974261835217476,0.2063712179660797,0.0551,0.1963
4,l2,False,adam,0.05986915901303291,0.20726028084754944,0.055,0.1963
4,l2,False,rmsprop,0.05968170240521431,0.20612019300460815,0.055,0.1963
3,l2,False,rmsprop,0.05972917005419731,0.20626509189605713,0.055,0.1963
4,l2,True,rmsprop,0.059792883694171906,0.20604610443115234,0.0551,0.1964
3,,False,adagrad,0.07764485478401184,0.2402956783771515,0.0551,0.1965
4,l2,True,adagrad,0.06900379806756973,0.22465211153030396,0.0551,0.1965
4,,False,adagrad,0.07503549754619598,0.2361019104719162,0.0551,0.1965
3,l2,False,adagrad,0.07956539839506149,0.2410259246826172,0.0637,0.2164
4,l2,False,adagrad,0.07968129217624664,0.2415747046470642,0.064,0.217
